8min 44.125s apt-daily.service
     38.190s snapd.seeded.service
     37.842s snapd.service
     36.028s e2scrub_reap.service
     30.254s apt-daily-upgrade.service
     16.189s rpi-eeprom-update.service
      5.845s cloud-init-local.service
      5.705s dev-mmcblk0p2.device
      5.132s apport.service
      4.340s fwupd-refresh.service
      3.248s fstrim.service
      3.001s dev-loop5.device
      2.916s dev-loop3.device
      2.907s dev-loop6.device
      2.861s dev-loop4.device
      2.796s dev-loop1.device
      2.795s dev-loop0.device
      2.792s dev-loop2.device
      2.730s dev-loop7.device
      2.562s systemd-journal-flush.service
      2.290s dbus.service
      2.239s apparmor.service
      1.969s cloud-config.service
      1.904s snapd.apparmor.service
      1.853s systemd-fsck@dev-disk-by\x2dlabel-system\x2dboot.service
      1.481s logrotate.service
      1.462s lvm2-monitor.service
      1.157s sysstat.service
       984ms systemd-tmpfiles-setup-dev-early.service
       805ms fwupd.service
       741ms snapd.failure.service
       739ms cloud-final.service
       661ms systemd-logind.service
       643ms systemd-sysctl.service
       640ms cloud-init.service
       565ms systemd-udev-trigger.service
       536ms systemd-random-seed.service
       536ms ssh.service
       523ms rsyslog.service
       510ms keyboard-setup.service
       454ms systemd-tmpfiles-setup.service
       452ms snap-bottom-777.mount
       414ms dev-hugepages.mount
       405ms dev-mqueue.mount
       402ms snap-bottom-782.mount
       396ms sys-kernel-debug.mount
       387ms sys-kernel-tracing.mount
       375ms user@1000.service
       334ms kmod-static-nodes.service
       310ms snap-core20-2683.mount
       310ms modprobe@configfs.service
       301ms modprobe@dm_mod.service
       292ms modprobe@drm.service
       283ms modprobe@efi_pstore.service
       274ms modprobe@fuse.service
       265ms modprobe@loop.service
       265ms snap-core24-1226.mount
       234ms systemd-modules-load.service
       228ms setvtrgb.service
       227ms update-notifier-download.service
       212ms serial-getty@ttyAMA0.service
       192ms snap-core24-1500.mount
       175ms systemd-user-sessions.service
       139ms snap-snapd-24509.mount
       122ms plymouth-read-write.service
       114ms udisks2.service
       107ms sys-kernel-config.mount
       107ms systemd-remount-fs.service
        85ms systemd-resolved.service
        85ms snap-snapd-25585.mount
        75ms ufw.service
        69ms systemd-update-utmp.service
        69ms console-setup.service
        69ms snap-v4l2rtspserver-102.mount
        68ms finalrd.service
        67ms systemd-rfkill.service
        62ms polkit.service
        59ms dpkg-db-backup.service
        58ms e2scrub_all.service
        55ms boot-firmware.mount
        51ms systemd-tmpfiles-clean.service
        49ms sysstat-summary.service
        47ms systemd-networkd.service
        46ms packagekit.service
        46ms systemd-udevd.service
        40ms systemd-timesyncd.service
        28ms ModemManager.service
        25ms systemd-update-utmp-runlevel.service
        24ms systemd-journald.service
        23ms plymouth-quit.service
        23ms user-runtime-dir@1000.service
        23ms proc-sys-fs-binfmt_misc.mount
        16ms plymouth-quit-wait.service
        13ms systemd-binfmt.service
        11ms systemd-tmpfiles-setup-dev.service
        10ms lxd-installer.socket
         7ms sysstat-collect.service
         6ms sys-fs-fuse-connections.mount
         3ms snapd.socket
        47us blk-availability.service
